observation_date,DGS10
2021-01-04,0.93
2021-01-05,0.96
2021-01-06,1.04
2021-01-07,1.08
2021-01-08,1.13
2021-01-11,1.15
2021-01-12,1.15
2021-01-13,1.10
2021-01-14,1.15
2021-01-15,1.11
2021-01-18,
2021-01-19,1.10
2021-01-20,1.10
2021-01-21,1.12
2021-01-22,1.10
2021-01-25,1.05
2021-01-26,1.05
2021-01-27,1.04
2021-01-28,1.07
2021-01-29,1.11
2021-02-01,1.09
2021-02-02,1.12
2021-02-03,1.15
2021-02-04,1.15
2021-02-05,1.19
2021-02-08,1.19
2021-02-09,1.18
2021-02-10,1.15
2021-02-11,1.16
2021-02-12,1.20
2021-02-15,
2021-02-16,1.30
2021-02-17,1.29
2021-02-18,1.29
2021-02-19,1.34
2021-02-22,1.37
2021-02-23,1.37
2021-02-24,1.38
2021-02-25,1.54
2021-02-26,1.44
2021-03-01,1.45
2021-03-02,1.42
2021-03-03,1.47
2021-03-04,1.54
2021-03-05,1.56
2021-03-08,1.59
2021-03-09,1.55
2021-03-10,1.53
2021-03-11,1.54
2021-03-12,1.64
2021-03-15,1.62
2021-03-16,1.62
2021-03-17,1.63
2021-03-18,1.71
2021-03-19,1.74
2021-03-22,1.69
2021-03-23,1.63
2021-03-24,1.62
2021-03-25,1.63
2021-03-26,1.67
2021-03-29,1.73
2021-03-30,1.73
2021-03-31,1.74
2021-04-01,1.69
2021-04-02,1.72
2021-04-05,1.73
2021-04-06,1.67
2021-04-07,1.68
2021-04-08,1.64
2021-04-09,1.67
2021-04-12,1.69
2021-04-13,1.64
2021-04-14,1.64
2021-04-15,1.56
2021-04-16,1.59
2021-04-19,1.61
2021-04-20,1.58
2021-04-21,1.57
2021-04-22,1.57
2021-04-23,1.58
2021-04-26,1.58
2021-04-27,1.63
2021-04-28,1.63
2021-04-29,1.65
2021-04-30,1.65
2021-05-03,1.63
2021-05-04,1.61
2021-05-05,1.59
2021-05-06,1.58
2021-05-07,1.60
2021-05-10,1.63
2021-05-11,1.64
2021-05-12,1.69
2021-05-13,1.66
2021-05-14,1.63
2021-05-17,1.64
2021-05-18,1.64
2021-05-19,1.68
2021-05-20,1.63
2021-05-21,1.63
2021-05-24,1.61
2021-05-25,1.56
2021-05-26,1.58
2021-05-27,1.61
2021-05-28,1.58
2021-05-31,
2021-06-01,1.62
2021-06-02,1.59
2021-06-03,1.63
2021-06-04,1.56
2021-06-07,1.57
2021-06-08,1.53
2021-06-09,1.50
2021-06-10,1.45
2021-06-11,1.47
2021-06-14,1.51
2021-06-15,1.51
2021-06-16,1.57
2021-06-17,1.52
2021-06-18,1.45
2021-06-21,1.50
2021-06-22,1.48
2021-06-23,1.50
2021-06-24,1.49
2021-06-25,1.54
2021-06-28,1.49
2021-06-29,1.49
2021-06-30,1.45
2021-07-01,1.48
2021-07-02,1.44
2021-07-05,
2021-07-06,1.37
2021-07-07,1.33
2021-07-08,1.30
2021-07-09,1.37
2021-07-12,1.38
2021-07-13,1.42
2021-07-14,1.37
2021-07-15,1.31
2021-07-16,1.31
2021-07-19,1.19
2021-07-20,1.23
2021-07-21,1.30
2021-07-22,1.27
2021-07-23,1.30
2021-07-26,1.29
2021-07-27,1.25
2021-07-28,1.26
2021-07-29,1.28
2021-07-30,1.24
2021-08-02,1.20
2021-08-03,1.19
2021-08-04,1.19
2021-08-05,1.23
2021-08-06,1.31
2021-08-09,1.33
2021-08-10,1.36
2021-08-11,1.35
2021-08-12,1.36
2021-08-13,1.29
2021-08-16,1.26
2021-08-17,1.26
2021-08-18,1.27
2021-08-19,1.24
2021-08-20,1.26
2021-08-23,1.25
2021-08-24,1.29
2021-08-25,1.35
2021-08-26,1.34
2021-08-27,1.31
2021-08-30,1.29
2021-08-31,1.30
2021-09-01,1.31
2021-09-02,1.29
2021-09-03,1.33
2021-09-06,
2021-09-07,1.38
2021-09-08,1.35
2021-09-09,1.30
2021-09-10,1.35
2021-09-13,1.33
2021-09-14,1.28
2021-09-15,1.31
2021-09-16,1.34
2021-09-17,1.37
2021-09-20,1.31
2021-09-21,1.33
2021-09-22,1.32
2021-09-23,1.41
2021-09-24,1.47
2021-09-27,1.48
2021-09-28,1.54
2021-09-29,1.55
2021-09-30,1.52
2021-10-01,1.48
2021-10-04,1.49
2021-10-05,1.54
2021-10-06,1.53
2021-10-07,1.58
2021-10-08,1.61
2021-10-11,
2021-10-12,1.59
2021-10-13,1.56
2021-10-14,1.52
2021-10-15,1.59
2021-10-18,1.59
2021-10-19,1.65
2021-10-20,1.65
2021-10-21,1.68
2021-10-22,1.66
2021-10-25,1.64
2021-10-26,1.63
2021-10-27,1.54
2021-10-28,1.57
2021-10-29,1.55
2021-11-01,1.58
2021-11-02,1.56
2021-11-03,1.60
2021-11-04,1.53
2021-11-05,1.45
2021-11-08,1.51
2021-11-09,1.46
2021-11-10,1.56
2021-11-11,
2021-11-12,1.58
2021-11-15,1.63
2021-11-16,1.63
2021-11-17,1.60
2021-11-18,1.59
2021-11-19,1.54
2021-11-22,1.63
2021-11-23,1.67
2021-11-24,1.64
2021-11-25,
2021-11-26,1.48
2021-11-29,1.52
2021-11-30,1.43
2021-12-01,1.43
2021-12-02,1.44
2021-12-03,1.35
2021-12-06,1.43
2021-12-07,1.48
2021-12-08,1.52
2021-12-09,1.49
2021-12-10,1.48
2021-12-13,1.42
2021-12-14,1.44
2021-12-15,1.47
2021-12-16,1.44
2021-12-17,1.41
2021-12-20,1.43
2021-12-21,1.48
2021-12-22,1.46
2021-12-23,1.50
2021-12-24,
2021-12-27,1.48
2021-12-28,1.49
2021-12-29,1.55
2021-12-30,1.52
2021-12-31,1.52
