Date,AAPL,ADBE,ADI,ADP,ADSK,AMD,AMGN,AMZN,ASML,AVGO,BIDU,BKNG,BKR,CDNS,CHTR,CMCSA,COST,CSCO,CSX,CTSH,DLTR,DXCM,EA,EBAY,EXC,GILD,GOOGL,IDXX,ILMN,INTC,ISRG,KDP,KLAC,LRCX,MAR,MDLZ,META,MNST,MU,NFLX,NVDA,NXPI,ORLY,PAYX,PEP,PYPL,QCOM,REGN,TMUS,TSLA
2021-01-04,125.9744644165039,485.3399963378906,133.80874633789062,152.30355834960938,296.8399963378906,92.30000305175781,193.6425323486328,159.3314971923828,477.9492492675781,38.25310516357422,216.8000030517578,2129.240234375,18.498193740844727,135.75999450683594,647.030029296875,40.69205856323242,359.68853759765625,38.03579330444336,27.42243766784668,73.50566864013672,106.94000244140625,89.43499755859375,135.8254852294922,47.19424819946289,24.600008010864258,49.610374450683594,85.65928649902344,491.7699890136719,357.7431945800781,44.90293502807617,266.6666564941406,27.752981185913086,246.67306518554688,45.26313781738281,120.3282699584961,51.072975158691406,267.0743713378906,45.29999923706055,72.2503662109375,52.2859992980957,13.076725959777832,148.4972686767578,30.264667510986328,78.46996307373047,123.65283966064453,231.38510131835938,133.33758544921875,480.1967468261719,127.94139862060547,243.2566680908203
2021-01-05,127.53197479248047,485.69000244140625,136.2004852294922,151.8798370361328,301.70001220703125,92.7699966430664,194.5822296142578,160.92550659179688,483.07275390625,38.5121955871582,214.0,2152.84375,18.709400177001953,136.13999938964844,636.5900268554688,40.44925308227539,355.5158996582031,38.05310821533203,27.88680076599121,73.71853637695312,107.12999725341797,92.1875,137.58766174316406,47.679935455322266,24.56415367126465,49.519596099853516,86.35006713867188,497.260009765625,364.688720703125,45.75271987915039,268.3500061035156,27.796907424926758,251.8467254638672,46.82835006713867,121.6012954711914,51.12588119506836,269.0903015136719,45.709999084472656,75.3823471069336,52.08000183105469,13.367158889770508,151.8238983154297,30.0853328704834,78.17469787597656,124.02136993408203,234.3682098388672,136.86630249023438,480.7835388183594,127.38106536865234,245.0366668701172
2021-01-06,123.23906707763672,466.30999755859375,136.81443786621094,151.3479766845703,302.8699951171875,90.33000183105469,199.2725067138672,156.91900634765625,468.6004638671875,38.27470397949219,203.97000122070312,2213.590576171875,19.501420974731445,130.63999938964844,624.510009765625,40.91865921020508,350.1037292480469,38.416507720947266,28.628541946411133,74.18130493164062,112.97000122070312,93.9800033569336,133.18707275390625,48.77043533325195,25.364830017089844,51.128971099853516,85.49800109863281,483.6000061035156,366.29376220703125,46.19569396972656,264.2633361816406,27.9023380279541,251.29708862304688,47.01204299926758,124.78384399414062,51.028892517089844,261.48345947265625,45.349998474121094,75.23597717285156,50.04899978637695,12.579127311706543,154.61895751953125,31.011999130249023,79.15599822998047,122.50428771972656,226.3068389892578,135.7529754638672,467.4972229003906,127.07191467285156,251.9933319091797
2021-01-07,127.44436645507812,477.739990234375,142.59677124023438,152.204345703125,315.20001220703125,95.16000366210938,199.9303436279297,158.10800170898438,479.316162109375,39.887699127197266,207.88999938964844,2203.7900390625,19.950233459472656,137.0500030517578,629.77001953125,40.99958419799805,348.1168212890625,38.90103530883789,29.304824829101562,74.92172241210938,114.75,96.79000091552734,137.0229949951172,48.623817443847656,25.113874435424805,51.59941482543945,88.05171203613281,495.19000244140625,371.9941711425781,47.18107604980469,269.4033203125,28.07004737854004,263.5961608886719,48.713600158691406,125.70964813232422,50.931884765625,266.8757629394531,46.75,77.18738555908203,50.888999938964844,13.306580543518066,160.36492919921875,31.32666778564453,79.48600769042969,122.11003875732422,234.49789428710938,139.80245971679688,478.5459289550781,128.67562866210938,272.0133361816406
2021-01-08,128.54437255859375,485.1000061035156,143.6322784423828,154.18746948242188,319.8500061035156,94.58000183105469,203.74920654296875,159.13499450683594,486.3037109375,40.09010314941406,240.25,2244.808837890625,19.774229049682617,136.19000244140625,634.3800048828125,41.71177673339844,350.028076171875,38.98755645751953,29.86892318725586,75.84724426269531,112.97000122070312,97.02249908447266,138.1134033203125,49.92508316040039,25.221431732177734,52.028587341308594,89.21739959716797,513.2000122070312,369.2704162597656,46.69291305541992,272.9166564941406,28.2465877532959,268.3243713378906,47.498741149902344,125.07315063476562,51.31105041503906,265.7139892578125,47.494998931884766,75.5384292602539,51.040000915527344,13.239519119262695,160.401611328125,31.8613338470459,79.9115219116211,123.57568359375,241.9008026123047,140.646484375,495.979248046875,130.4822540283203,293.3399963378906
2021-01-11,125.55587005615234,474.239990234375,145.06178283691406,151.89785766601562,317.80999755859375,97.25,202.9632568359375,155.7104949951172,485.5485534667969,40.100894927978516,219.5500030517578,2185.50927734375,19.932634353637695,134.69000244140625,641.1300048828125,41.695594787597656,344.41717529296875,39.24713134765625,29.915672302246094,74.17205047607422,112.43000030517578,92.66000366210938,137.4903106689453,49.42107391357422,25.01229476928711,51.591156005859375,87.15596771240234,506.54998779296875,362.3346252441406,46.59346389770508,271.2166748046875,27.681659698486328,273.9433288574219,48.904876708984375,124.07979583740234,50.34108352661133,255.05831909179688,46.470001220703125,76.75807189941406,49.90999984741211,13.583303451538086,158.73370361328125,32.255332946777344,79.02574920654297,121.78437805175781,236.9522247314453,140.17059326171875,500.1461486816406,128.4244384765625,270.39666748046875
2021-01-12,125.38066101074219,471.6499938964844,145.78573608398438,152.39366149902344,320.1300048828125,95.36000061035156,202.12599182128906,156.04150390625,491.26483154296875,40.42745590209961,239.4499969482422,2160.98095703125,20.275848388671875,133.72000122070312,621.489990234375,40.47352600097656,344.5970458984375,39.619178771972656,29.88450813293457,73.70928192138672,114.18000030517578,90.0425033569336,135.3873291015625,51.354671478271484,25.143749237060547,51.23627471923828,86.22003936767578,496.7300109863281,351.439697265625,48.130313873291016,262.80999755859375,27.681659698486328,275.7246398925781,50.794857025146484,122.85501861572266,50.54389953613281,249.3482208251953,46.994998931884766,77.52888488769531,49.42499923706055,13.44693374633789,161.36387634277344,33.026668548583984,78.78260040283203,121.21866607666016,237.09190368652344,138.6800994873047,502.96051025390625,124.32816314697266,283.14666748046875
2021-01-13,127.4151382446289,472.04998779296875,145.22677612304688,148.4274444580078,314.3299865722656,91.77999877929688,203.10845947265625,158.29449462890625,491.38916015625,40.5911865234375,236.94000244140625,2147.28466796875,20.240646362304688,134.1199951171875,618.010009765625,40.594932556152344,347.19903564453125,39.24713134765625,29.494937896728516,73.68150329589844,112.47000122070312,90.63749694824219,132.7392120361328,51.05225372314453,25.573965072631836,50.79060363769531,86.70736694335938,497.5799865722656,352.14007568359375,51.4842414855957,270.48333740234375,27.946468353271484,274.88140869140625,49.8536491394043,122.00635528564453,50.58797836303711,249.8944091796875,45.935001373291016,77.96794891357422,50.77899932861328,13.493802070617676,162.59185791015625,32.18733215332031,77.77523040771484,122.21289825439453,244.3351593017578,141.34686279296875,509.07659912109375,124.14459991455078,284.8033447265625
2021-01-14,125.48773193359375,463.2699890136719,146.12478637695312,145.94854736328125,311.1099853515625,90.79000091552734,206.4574432373047,156.37350463867188,520.630126953125,40.66855239868164,249.0,2147.4521484375,20.865463256835938,135.39999389648438,623.0900268554688,40.12553405761719,342.8465881347656,39.0654296875,29.13653564453125,74.08875274658203,109.97000122070312,88.0199966430664,135.27053833007812,50.64904022216797,25.44251251220703,51.50038146972656,85.89698028564453,488.8999938964844,360.933837890625,53.563499450683594,265.71331787109375,27.840545654296875,287.9384765625,52.81645965576172,124.34020233154297,50.53507995605469,243.93603515625,45.68000030517578,79.32416534423828,50.08599853515625,13.163232803344727,164.95619201660156,31.433332443237305,76.4813003540039,121.50149536132812,241.501708984375,144.42665100097656,515.053466796875,120.46375274658203,281.6666564941406
2021-01-15,123.76471710205078,458.0799865722656,144.55775451660156,145.23638916015625,308.510009765625,88.20999908447266,209.72950744628906,155.21249389648438,504.2362976074219,40.1089973449707,238.8699951171875,2085.11181640625,20.126243591308594,134.63999938964844,628.9099731445312,39.40525436401367,342.6668701171875,39.30769348144531,29.114717483520508,74.26459503173828,108.33999633789062,88.55000305175781,135.3289337158203,50.786502838134766,25.908578872680664,52.2679328918457,85.73323059082031,489.4599914550781,366.0992126464844,52.05377960205078,259.47332763671875,28.123008728027344,288.1752624511719,51.8449592590332,122.2860107421875,50.45573043823242,249.61631774902344,45.82500076293945,78.75825500488281,49.79800033569336,12.823437690734863,157.82647705078125,31.112667083740234,76.7418212890625,121.18438720703125,239.2369384765625,141.05055236816406,515.0733032226562,122.96595001220703,275.38665771484375
